,Trans_desc_brand,Prediction
0,CHECK CRD PURCHASE 11/11 PACKAGE EXPRESS         LACEY         WA 111111XXXXXX1111 111111111111111                               ?MCC=1111PACKAGE EXPRESS,Retail Trade
1,RECUR DEBIT CRD PMT11/11 YP *FRMLY AT&T AD       111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111YP *FRMLY AT&T AD,Communication Services
2,CHECK CRD PURCHASE 11/11 NORMAN G JENSEN IN      111-1111111   MN 111111XXXXXX1111 111111111111111                               ?MCC=1111NORMAN G JENSEN IN,Travel
3,CHECK CRD PUR RTRN 11/11 TWILIO                  SAN FARANSICO CA 111111XXXXXX1111 111111111111111                               ?MCC=1111TWILIO,Retail Trade
4,CHECK CRD PURCHASE 11/11 AT&T D11K 1111          FORT WORTH    TX 111111XXXXXX1111 111111111111111                               ?MCC=1111AT&T D11K 1111,Communication Services
5,CHECK CRD PURCHASE 11/11 LIBERTY POSTAL BUS      THE COLONY    TX 111111XXXXXX1111 111111111111111                               ?MCC=1111LIBERTY POSTAL BUS,Communication Services
6,CHECK CRD PURCHASE 11/11 COMMSPEED L.L.C.        111-111-1111  AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11COMMSPEED L.L.C.,Retail Trade
7,CHECK CRD PURCHASE 11/11 TELCEL HERMOSILLO V     HERMOSILLO    MX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TELCEL HERMOSILLO V,Retail Trade
8,RECUR DEBIT CRD PMT11/11 ATT*BUS PHONE PMT       111-111-1111  TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ATT*BUS PHONE PMT,Communication Services
9,CHECK CRD PURCHASE 11/11 USPS CPU 1              PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11USPS CPU 1,Communication Services
10,DBCD PUR RTN INTL  11/11 VODAFONE LIMITED        LONDON  W11   GB 111111XXXXXX1111 111111111111111                               ?MCC=1111VODAFONE LIMITED,Retail Trade
11,CHECK CRD PURCHASE 11/11 NU ERA TELECOM          111-1111111   FL 111111XXXXXX1111 111111111111111                               ?MCC=1111NU ERA TELECOM,Retail Trade
12,CHECK CRD PURCHASE 11/11 ACCESS INTERNATIONAL    111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ACCESS INTERNATIONAL,Retail Trade
13,RECUR DEBIT CRD PMT11/11 ANTELECOM.NET           111-1111111   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ANTELECOM.NET,Retail Trade
14,CHECK CRD PURCHASE 11/11 AOL* SERVICE            111-111-1111  NY 111111XXXXXX1111 111111111111111                               ?MCC=1111AOL* SERVICE,Services to Transport
15,DEBIT CRD PUR INTL 11/11 HTL WEBER               CAPRI         IT 111111XXXXXX1111 111111111111111                               ?MCC=1111HTL WEBER,Retail Trade
16,CHECK CRD PURCHASE 11/11 UPS*Q1111111111         111-111-1111  GA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11UPS*Q1111111111,Retail Trade
17,CHECK CRD PURCHASE 11/11 AT AND T TOTAL WORLD M  CLEARWATER    FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AT AND T TOTAL WORLD M,Retail Trade
18,RECUR DB CD PMT REV11/11 AT&T TLG FLP            1111111111    GA 111111XXXXXX1111 111111111111111                               ?MCC=1111AT&T TLG FLP,Property and Business Services
19,CHECK CRD PURCHASE 11/11 BOX AND SHIP EXPRESS    LAKEWOOD      CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BOX AND SHIP EXPRESS,Retail Trade
20,RECUR DEBIT CRD PMT11/11 AT&T TLG FLP            111-111-1111  GA 111111XXXXXX1111 111111111111111                               ?MCC=1111AT&T TLG FLP,Property and Business Services
21,RECUR DEBIT CRD PMT11/11 HURRICANE ELECTRIC WEB  WWW.HE.NET    CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HURRICANE ELECTRIC WEB,"Trade, Professional and Personal Services"
22,CHECK CRD PURCHASE 11/11 CORNWALL BRIDGE PO      CORNWALL BRID CT 111111XXXXXX1111 111111111111111                               ?MCC=1111CORNWALL BRIDGE PO,Retail Trade
23,CHECK CRD PURCHASE 11/11 WNM*COMMUNICATIONS      111-111-1111  NM 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WNM*COMMUNICATIONS,Retail Trade
24,CHECK CRD PURCHASE 11/11 INTELLIFED CORPORA      111-1111111   VA 111111XXXXXX1111 111111111111111                               ?MCC=1111INTELLIFED CORPORA,Retail Trade
